Song,Performer,Year,Decade,Lyrics
put your hand in the hand,ocean,1971,1970,"Put your hand in the hand
Of the man who stilled the water
Put your hand in the hand
Of the man who calmed the sea
Take a look at yourself and
A you can look at others differently
By puttin' your hand in the hand
Of the man from-a Galilee
Every time I look into the Holy Book
I want to tremble
When I read about the part
Where a carpenter cleared the temple
For the buyers and the sellers were
No different fellas than what I profess to be
And it causes me shame to know
I'm not the gal that I should be
Put your hand in the hand
Mama taught me how to pray before
I reached the age of seven
And when I'm down on my knees that's a
When I'm close to heaven
Daddy lived his life with two kids and a wife
You do must you must do
But he showed me
Enough of what it takes to get you through"
cathy's clown,the everly brothers,1960,1960,"Don't want your love any more
Don't want your kisses, that's for sure
I die each time I hear this sound
Here he comes, that's Cathy's clown

I've got to stand tall, you know a man can't crawl
For when he knows you're telling lies
And he hears them passing by
He's not a man at all

Don't want your love any more
Don't want your kisses, that's for sure
I die each time I hear this sound
Here he comes, that's Cathy's clown

When you see me shed a tear
And you know that it's sincere
Don't you think it's kind of sad, that you're treating me so bad?
Or don't you even care?

Don't want your love any more
Don't want your kisses , that's for sure
I die each time I hear this sound
Here he comes, that's Cathy's clown
That's Cathy's clown, that's Cathy's clown"
telstar,the tornadoes,1963,1960,"You counted 74 swans on the canal
You counted 74 swans on the canal
You were glad it was an even number
Everybody had another
No one was facing this cold alone
This cold alone, cold alone, cold alone
They were gathered between bridges
In the steely sunshine
Bookend by ice on either side
Here comes a pair on final approach
Wings like great white bellows
Gathering inward to land and it looks like grace
Looks like grace, looks like grace
You counted 74 swans on the canal
You counted 74 swans on the canal
You were glad it was an even number
Everybody had another
No one was facing this cold alone
I thought you were right there with me
On my left side
Too eager to get where I'm going
I left you behind
But you were on the last watch
The passing of the torch
You counted 74 swans, now there's 75"
dizzy,tommy roe,1969,1960,"Dizzy
I'm so dizzy my head is spinning
Like a whirlpool, it never ends
And it's you, girl, making it spin
You're making me dizzy
First time that I saw you, girl
I knew that I just had to make you mine
But it's so hard to talk to you
With fellas hanging 'round you all the time
I want you for my sweet pet
But you keep playing hard to get
I'm going around in circles all the time
Dizzy
I'm so dizzy my head is spinning
Like a whirlpool, it never ends
And it's you, girl, making it spin
You're making me dizzy
I finally got to talk to you
And I told you just exactly how I felt
Then I held you close to me
And kissed you and my heart began to melt
Girl, you've got control on me
'Cause I'm so dizzy I can't see
I need to call a doctor for some help
Dizzy
I'm so dizzy my head is spinning
Like a whirlpool, it never ends
And it's you, girl, making it spin
You're making me dizzy, my head is spinning
Like a whirlpool it never ends
And it's you girl making it spin
You're making me dizzy
You're making me dizzy
I'm so dizzy
You're making me dizzy"
aquarius,the 5th dimension,1969,1960,"When the moon is in the Seventh House
And Jupiter aligns with Mars
Then peace will guide the planets
And love will steer the stars

This is the dawning of the age of Aquarius
The age of Aquarius
Aquarius
Aquarius

Harmony and understanding
Sympathy and trust abounding
No more falsehoods or derisions
Golden living dreams of visions
Mystic crystal revelation
And the mind's true liberation
Aquarius
Aquarius

When the moon is in the Seventh House
And Jupiter aligns with Mars
Then peace will guide the planets
And love will steer the stars
This is the dawning of the age of Aquarius
The age of Aquarius
Aquarius
Aquarius
Aquarius
Aquarius

Let the sunshine
Let the sunshine in
The sunshine in
Let the sunshine
Let the sunshine in
The sunshine in
Let the sunshine (Oh let it shine!)
Let the sunshine in (Come on)
The sunshine in (Now everybody just sing along)
Let the sunshine (And let the sun shine on in)
Let the sunshine in (Open up your heart)
The sunshine in (Let it shine on in)
(And when you're lonely)
Let the sunshine (Hey! Let it shine, yeah)
Let the sunshine in (You got to open up your heart)
The sunshine in (And let it shine on in)
(And when you feel like you've been mistreated)
Let the sunshine (And your friends turn their backs upon ya)
Let the sunshine in (Just open up your heart)
The sunshine in (And let it shine on in)
(You've got to feel it)
Let the sunshine (You've got to feel it)
Let the sunshine in (Ahh, open up your heart and let it shine on in)
The sunshine in
(And let me tell you one thing)
Let the sunshine (I want you to sing along with the 5th Dimension)
Let the sunshine in (Hey, open up your heart)
The sunshine in
(Aww, come on)
Let the sunshine (Let it shine)
Let the sunshine in (Everyday)
The sunshine in (Hey, you got to feel it)
Let the sunshine (You got to feel it)
Let the sunshine in (When you open up your heart)
The sunshine in (You gotta let the sun come on in)
(And I see in the mornin')
Let the sunshine (And late at night)
Let the sunshine in (Open up your heart)
The sunshine in (Hey!)"
pink shoe laces,dodie stevens,1959,1950,"Now I've got a guy and his name is Dooley
He's my guy and I love him truly
He's not good lookin', heaven knows
But I'm wild about his crazy clothes
He wears tan shoes with pink shoelaces
A polka dot vest and man, oh, man
Tan shoes with pink shoelaces
And a big Panama with a purple hat band
Ooh-ooh, ooh, ooh
Ooh-ooh, ooh, ooh
He takes me deep-sea fishing in a submarine
We got to drive-in movies in a limousine
He's got a whirly-birdy and a 12-foot yacht
Ah, but that's-a not all he's got
He's got tan shoes with pink shoelaces
A polka dot vest and man, oh, man
Tan shoes with pink shoelaces
And a big Panama with a purple hat band
Now Dooley had a feelin' we were goin' to war
So he went out and enlisted in a fightin' corps
But he landed in the brig for raisin' such a storm
When they tried to put 'em in a uniform
He wanted tan shoes with pink shoelaces
A polka dot vest and man, oh, man
He wanted tan shoes with pink shoelaces
And a big Panama with a purple hat band
Ooh-ooh, ooh, ooh
Ooh-ooh, ooh, ooh
Now one day Dooley started feelin' sick
And he decided that he better make his will out quick
He said ""Just before the angels come to carry me
I want it down in writin' how to bury me.""
A'wearin tan shoes with pink shoelaces
A polka dot vest and man, oh, man
Give me tan shoes with pink shoelaces
And a big Panama with a purple hat band
Ooh-ooh, ooh, ooh
Ooh-ooh, ooh, ooh
Ooh-ooh, ooh, ooh
And a big Panama with a purple hat band!!"
diamonds and pearls,prince,1992,1990,"This will be the day
That you will hear me say
That I will never run away
I am here for you
Love is meant for two
Now tell me what you're gonna do

If I gave you diamonds and pearls
Would you be a happy boy or a girl
If I could I would give you the world
But all I can do is just offer you my love

Which one of us is right
If we always fight
Why can't we just let love decide (let love decide)
Am I the weaker man
Because I understand
That love must be the master plan (love is the master plan)

If I gave you diamonds and pearls
Would you be a happy boy or a girl
If I could I would give you the world
But all I can do is just offer you my love
D to the I to the A to the M
O to the N to the D to the pearls of love
D to the I to the A to the M (to the M)
O to the N to the D to the pearls of love

There will come a time (there'll come a time)
When love will blow your mind (blow your mind)
And everything you'll look for you'll find (take a look inside yeah)
That will be the time (that will be the time)
That everything will shine (forever)
So bright it makes you colorblind (you will be color blind)

If I gave you diamonds and pearls
Would you be a happy boy or a girl
If I could I would give you the world
But all I can do is just offer you my love
If I gave you diamonds and pearls (pearls, yeah yeah)
Would you be a happy boy or a girl
If I could I would give you the world (give you the world)
All I can do is just offer you my love (all I can do)
If I gave you diamonds and pearls (diamonds)
Would you be, would you, would you, a happy boy or a girl
(Would ya, would ya, would ya be happy little baby)
If I could I would give you the world"
brand new key,melanie,1972,1970,"I rode my bicycle past your window last night
I roller skated to your door at daylight
It almost seems like you're avoiding me
I'm okay alone but you've got something I need
Well, I've got a brand new pair of roller skates
You've got a brand new key
I think that we should get together
And try them on to see
I've been looking around awhile
You've got something for me
Oh I've got a brand new pair of roller skates
You've got a brand new key
I ride my bike I rollerskate don't drive no car
Don't go too fast but I go pretty far
For somebody who don't drive
I've been all around the world
Some people say I've done alright for a girl
Oh, yeah yeah
I asked your mother if you were at home
She said yes, but you weren't alone
Sometimes I think that you're avoiding me
I'm okay alone but you've got something I need
Well I've got a brand new pair of roller skates
You've got a brand new key
I think that we should get together
And try them on to see
La la la la la la la la
La la la la la la
Oh I've got a brand new pair of roller skates
You've got a brand new key"
summertime,d.j. jazzy jeff ,1991,1990,"Drums Please!

Summer, summer, summertime
Time to sit back and unwind

Here it is the groove slightly transformed
Just a bit of a break from the norm
Just a little somethin' to break the monotony
Of all that hardcore dance that has gotten to be
A little bit out of control it's cool to dance
But what about the groove that soothes that moves romance
Give me a soft subtle mix
And if ain't broke then don't try to fix it
And think of the summers of the past
Adjust the bass and let the Alpine blast
Pop in my CD and let me run a rhyme
And put your car on cruise and lay back 'cause this is summertime

Summer, summer, summertime
Time to sit back and unwind

School is out and it's a sort of a buzz
But back then I didn't really know what it was
But now I see what have of this
The way that people respond to summer madness
The weather is hot and girls are dressin' less
And checkin' out the fellas to tell 'em who's best
Riding around in your Jeep or your Benzos
Or in your Nissan sittin' on Lorenzos
Back in Philly we be out in the park
A place called the Plateau is where everybody goes
Guys out huntin' and girls doin' likewise
Honkin' at the honey in front of you with the light eyes
She turn around to see what you beepin' at
It's like the summer's a natural aphrodisiac
And with a pen and pad I compose this rhyme
To hip you and to get you equipped for the summertime
Summer, summer, summertime
Time to sit back and unwind

It's late in the day and I ain't been on the court yet
Hustle to the mall to get me a short set
Yeah I got on sneaks but I need a new pair
Cause basketball courts in the summer got girls there
The temperature's about 88
Hop in the water plug just for old times sake
Break to ya crib change your clothes once more
Cause you're invited to a barbecue that's startin' at 4
Sittin' with your friends cause y'all reminisce
About the days growin' up and the first person you kiss
And as I think back makes me wonder how
The smell from a grill could spark up nostalgia
All the kids playin' out front
Little boys messin' round with the girls playing double-dutch
While the DJ's spinnin' a tune as the old folks dance at your family reunion
Then six o'clock rolls around
You just finished wipin' your car down
It's time to cruise so you go to the summertime hangout
It looks like a car show
Everybody come lookin' real fine
Fresh from the barber shop or fly from the beauty salon
Every moment frontin' and maxin'
Chillin' in the car they spent all day waxin'
Leanin' to the side but you can't speed through
Two miles an hour so everybody sees you
There's an air of love and of happiness
And this is the Fresh Prince's new definition of summer madness
Summer, summer, summertime
Time to sit back and unwind"
come back when you grow up,bobby vee,1967,1960,"Come back when you grow up, girl
You're still livin' in a paper-doll world
Livin' ain't easy, lovin's twice as tough
So come back, baby, when you grow up
You look real good like a woman now
Your mind hasn't gotten the message somehow
So if you can't take it 'n' the goin' gets rough
Come back, baby, when you grow up
I want you girl but your wide-eyed innocence
Has really messed up my mind, yeah-eah-eah
I'd rather you get your very first heartbreak
Somewhere else along the line
Come back when you grow up, girl
You're still livin' in a paper-doll world
Some day be a woman ready to love
Come back, baby, when you grow up
Come back when you grow up, girl
You've still got a lotta time left in the world
You'll some day be a woman ready to love
Come back, baby, when you grow up"
spooky,classics iv,1968,1960,"{Intro}

In the cool of the evening
When everything is getting kinda groovy
I call you up and ask you
Would you like to go with me and see a movie
At first you say no you've got some plans for tonight
And then you stop and say, ""alright""
Love is kinda crazy with a spooky little girl like you

You always keep me guessing
I never seem to know what you are thinking
And if a fellow looks at you
You'd be sure your little eye will be a-winking
I get confused cause I don't know where I stand
And then you smile and hold my hand
Love is kinda crazy with a spooky little girl like you
Spooky!

If you decide someday
To stop this little game that you are playing
I'm gonna tell you all the things
My heart's been a-dying to be saying
Just like a ghost
You've been a-haunting my dreams
So I propose on Halloween
Love is kinda crazy
With a spooky little girl like you
Spooky!
Spooky!
I said  Spooky..."
stoned soul picnic,the 5th dimension,1968,1960,"Can you surry, can you picnic, whoa?
Can you surry, can you picnic?
Come on, come on and surry down to a stoned soul picnic
Surry down to a stoned soul picnic
There'll be lots of time and wine
Red yellow honey, sassafras and moonshine
Red yellow honey, sassafras and moonshine
Stoned soul, stoned soul, whoa
Come on, come on and surry down to a stoned soul picnic
Surry down to a stoned soul picnic (Can you surry, can you picnic?)
Rain and sun come in again
And from the sky come the Lord and the lightning
And from the sky come the Lord and the lightning
Stoned soul, stoned soul
Surry on, soul
Surry, surry, surry, surry
There'll be trains of blossoms (There'll be trains of blossoms)
There'll be trains of music (There'll be music)
There'll be trains of trust, trains of golden dust
Come along and surry on, sweet trains of thought, surry on down
Can you surry, can you surry, can you surry?
Surry down to a stoned soul picnic
Surry down to a stoned soul picnic (Can you surry, can you picnic?)
There'll be lots of time and wine
Red yellow honey, sassafras and moonshine (Red yellow honey)
Red yellow honey, sassafras and moonshine, moonshine
Stoned soul, yeah
Surry on, soul
Surry, surry, surry, surry
Surry, surry, surry, surry
Surry, surry, surry, surry"
one more try,timmy t.,1991,1990,"It's been a long time since you left me
I didn't mean to make you cry
I didn't mean to disappiont you
I didn't mean to tell you lies
And after all that we have been through
Won't you let me tell you why
One more try
I didn't know how much I loved you
One more try
Let me put my arms around you
Living all these lonely nights without you
Oh baby, can we give it one more try
It's been a long time since I've kissed you
It always used to feel so good
And if you knew how much I missed you
You'd forgive me if you could
And now that we have found each other
Can't we give it one more try
One more try
I didn't know how much I loved you
One more try
Let me put my arms around you
Living all these lonely nights without you
Oh baby, can we give it one more try
And after all that we have been through
Won't you let me tell you why
And now that we have found each other
Can't we give it one more try
One more try
I didn't know how much I loved you
One more try
Let me put my arms around you
Living all these lonely nights without you
Oh baby, can we give it one more try
Oh girl, you know I love you
I just want you to know
Our love, I'll always treasure
So please, just don't let me go"
baby-baby-baby,tlc,1992,1990,"Now you want my love, well that's alright
Well it will be there for you, morning, noon and night
But you gotta be good, and do it right
Ain't got no time for part-time lovin' in my life
Well you wanna be loved, huh, hey that's okay
Cause it falls in line right with my sexuality
But you gotta be down, a nigga gotta be true
Cause otherwise this beat ain't got no time for you

Baby, baby, baby
I got so much love in me
Oh baby, baby
Baby, baby, baby
Cause if you gonna get me off
You got to love me deep

Well, you want my heart, and all my time
But it won't be there if you can't deal with my mind
Cause a girl like me, won't settle for less
I require plenty conversation with my sex

Long as you know, that I can have any man I want to baby
That's actual and factual, but still I choose you
To be with me, and work on it, so you better not flake it up (Ohhh)
Baby, baby, baby
I got so much love in me
Oh baby, baby
Baby, baby, baby
Cause if you gonna get me off
You got to love me deep
Baby, baby, baby
I got so much love in me
Oh baby, baby
Baby, baby, baby
Cause if you gonna get me off
You got to love me deep

Baby, long as you know, that I can have any man I want to
Baby, that's actual and it's factual
But still, I choose you, to be with me
And work on that, so you better not flake it up

Well, you want my heart, and all my time
But it won't be there if you can't deal with my mind
Cause a girl like me, I won't settle for less
I require plenty conversation with my sex
Baby, baby, baby
I got so much love in me
Oh baby, baby
Baby, baby, baby
Cause if you gonna get me off
You got to love me deep
Baby, baby, baby
I got so much love in me
Oh baby, baby
Baby, baby, baby
Cause if you gonna get me off
You got to love me deep

I can have any man that I want to
Time and place that I choose to
But I'm thinking that I would rather be here with you, yeah
That's actual and factual
You're the one I seem to run back to, just to get me off
You got to love me, got to love me, got to love me

Baby, baby, baby (Ohh baby)
I got so much love in me (So much love, so much love)
Oh baby, baby
Baby, baby, baby (Oh my baby)
Cause if you gonna get me off
You got to love me deep (Got to love me, got to love me)
(Love me deep)
Baby, baby, baby (Baby, baby, baby, baby, baby, baby)
I got so much love in me (So much love in me!)
Oh baby, baby
Baby, baby, baby (Oh yeah)
Cause if you gonna get me off (Get me, get me)
You got to love me deep (Love me deep)
I can have any man that I want to
Time and place that I choose to
But I'm thinking that I would rather be here with you, yeah
That's actual and factual
You're the one I seem to run back to, just to get me off..."
talk dirty,jason derulo ,2014,2010,"Jason, haha
Jason Derulo
Haha, get Jazzy on 'em

I'm that flight that you get on, international
First-class seat, on my lap, girl, riding comfortable (Oh, yeah)
Ha, 'cause I know what da girl dem need, New York to Haiti
I got lipstick stamps on my passport, you make it hard to leave

Been around the world, don't speak the language (Uh-huh)
But your booty don't need explaining (Uh-huh)
All I really need to understand is (Uh-huh)
When you talk dirty to me

Talk dirty to me (What?)
Talk dirty to me
Talk dirty to me (What?)
Get Jazzy on 'em

You know the words to my songs, no habla inglés (Oh)
Our conversations ain't long, but you know what is
I know what the girldem want, London to Taiwan
I got lipstick stamps on my passport, I think I need a new one
Been around the world, don't speak the language (Uh-huh)
But your booty don't need explaining (Uh-huh)
All I really need to understand is (Uh-huh)
When you talk dirty to me

Talk dirty to me (What?)
Talk dirty to me
Talk dirty to me (What?)

(Uno) Met a friend in Rio
(Dos) She was all on me, oh
(Trés) We could ménage à three, oh
(Cuatro) Oh, yeah (2 Chainz)

Dos Cadenas, close to genius
Sold-out arenas, you can suck my penis (Ooh, damn)
Gilbert Arenas, guns on deck (Deck)
Chest to chest, tongue on neck (Neck)
International oral sex
Every picture I take, I pose a threat (Yeah, oh)
Bought a jet, what do you expect?
Her pussy so good, I bought her a pet (Oh, oh, oh, oh)
Anyway, every day, I'm tryna get to it
Got her saved in my phone under ""Big Booty"" (Haha)
Anyway, every day, I'm tryna get to it
Got her saved in my phone under ""Big Booty""
Been around the world, don't speak the language (Uh-huh)
But your booty don't need explaining (Uh-huh)
All I really need to understand is (Uh-huh)
When you talk dirty to me

You do
Talk dirty to me (What?)
Yeah, yeah
Talk dirty to me
Talk to me
Talk dirty to me (What?)
Ooh, oh, yeah
Get Jazzy on 'em

What? I don't understand"
